,Xf,Xa,Xi,phi,Tad,Flammable
64,0.07,0.93,0.0,0.24315670509218895,949.8486676371734,0.0
65,0.07,0.8,0.13,0.2852368289149846,949.1516597562118,0.0
66,0.07,0.7,0.23,0.3280098691518047,948.6333860899972,0.0
67,0.07,0.6,0.33,0.3846791815634615,948.1300107353645,0.0
68,0.07,0.5,0.43,0.4633301910076948,947.641025230377,0.0
69,0.07,0.4,0.53,0.5798301671962929,947.1660870613923,0.0
70,0.07,0.3,0.63,0.7701566994307292,946.7053829692612,0.0
71,0.07,0.2,0.73,1.1370347499825204,862.2517152809562,0.0
72,0.07,0.1,0.83,2.1386250610102335,627.3704822511206,0.0
73,0.07,0.0,0.93,15.977392249559719,415.4273215426059,0.0
74,0.08,0.92,0.0,0.2809139574356966,1032.3433839085435,0.0
75,0.08,0.8,0.12,0.32532151386861136,1030.2642592153343,0.0
76,0.08,0.7,0.22,0.3737074129511144,1028.587700533795,0.0
77,0.08,0.6,0.32,0.4378173974800262,1026.9598969997144,0.0
78,0.08,0.5,0.42,0.5268033677927838,1025.3790820250583,0.0
79,0.08,0.4,0.52,0.6586290596323063,1023.8440357000707,0.0
80,0.08,0.3,0.62,0.8740377188225137,1022.3558566001018,0.0
81,0.08,0.2,0.72,1.2894203134231172,845.7960244639521,0.0
82,0.08,0.1,0.82,2.4244743239815505,630.1123110104497,0.0
83,0.08,0.0,0.92,18.265409737589355,422.53190968768376,0.0
84,0.09,0.91,0.0,0.3195010395010395,1112.7938589086048,0.0
85,0.09,0.8,0.11,0.36542269849030323,1109.5992873310902,0.0
86,0.09,0.7,0.21,0.41942639656971503,1106.78620052494,0.0
87,0.09,0.6,0.31,0.4909845961476358,1104.056282216465,0.0
88,0.09,0.5,0.41,0.5903178830002885,1101.406744795781,0.0
89,0.09,0.4,0.51,0.7374916299035837,1098.8363539906522,0.0
90,0.09,0.3,0.61,0.9780293121178621,1096.3567942743696,0.0
91,0.09,0.2,0.71,1.4420434296207354,829.8057582799512,0.0
92,0.09,0.1,0.81,2.711155776757819,632.9520020037137,0.0
93,0.09,0.0,0.91,20.603713324257,429.5521034820073,0.0
94,0.1,0.9,0.0,0.35894561227894556,1191.3271201189893,0.0
95,0.1,0.8,0.1,0.40554039296955363,1187.2806958479573,0.0
96,0.1,0.7,0.2,0.465166835099458,1183.3568166332002,0.0
97,0.1,0.6,0.3,0.5441808012845026,1179.5509159605392,0.0
98,0.1,0.5,0.4,0.6538737770273159,1175.8598471157266,0.0
99,0.1,0.4,0.5,0.8164179552289599,1172.2849352461776,0.0
100,0.1,0.3,0.6,1.0821316559577843,1096.022298684888,0.0
101,0.1,0.2,0.7,1.5949046544875995,814.5358691588775,0.0
102,0.1,0.1,0.8,2.9986730587542287,636.8188955494692,0.0
103,0.1,0.0,0.9,22.993979212850597,436.4862540496135,0.0
104,0.11,0.89,0.0,0.39927657995073723,1268.0380982320235,1.0
105,0.11,0.88,0.01,0.40397106984201975,1267.516122725462,1.0
106,0.11,0.87,0.02,0.40877165788902103,1266.995783031972,1.0
107,0.11,0.86,0.03,0.41368198201984335,1266.4770722254286,0.0
