,Xf,Xa,Xi,phi,Tad,Flammable
730,0.19,0.1,0.71,3.241211744879452,872.5103794067995,0.0
731,0.19,0.0,0.81,7.59095038111311,827.5246286150057,0.0
732,0.2,0.8,0.0,0.595,1955.3807986608747,1.0
733,0.2,0.79,0.01,0.6031491917910436,1956.0041153124425,1.0
734,0.2,0.78,0.02,0.6114887605224666,1956.6196690901452,1.0
735,0.2,0.77,0.03,0.6200254562621518,1957.2270183156384,1.0
736,0.2,0.76,0.04,0.6287663520047734,1957.825666202521,1.0
737,0.2,0.75,0.05,0.6377188632167907,1958.4150520728672,1.0
738,0.2,0.74,0.06,0.6468907688183801,1958.994540809666,1.0
739,0.2,0.73,0.07,0.6562902337270817,1959.5634101127334,1.0
740,0.2,0.72,0.08,0.6659258331004737,1960.1208349990743,1.0
741,0.2,0.71,0.09,0.6758065784291795,1960.6658688184832,1.0
742,0.2,0.7,0.1,0.6859419456470767,1961.1974198239482,1.0
743,0.2,0.69,0.11,0.6963419054430385,1961.7142220188982,1.0
744,0.2,0.68,0.12,0.707016955978009,1962.2147985615875,1.0
745,0.2,0.67,0.13,0.7179781582330904,1962.6974153846884,1.0
746,0.2,0.66,0.14,0.7292371742388299,1963.1600217989221,1.0
747,0.2,0.65,0.15,0.74080630846347,1963.6001735590278,1.0
748,0.2,0.64,0.16,0.752698552668946,1964.0149319630546,1.0
749,0.2,0.63,0.17,0.7649276345784104,1964.4007297127791,1.0
750,0.2,0.62,0.18,0.7775080707385637,1964.753189696511,1.0
751,0.2,0.61,0.19,0.7904552240047595,1965.066876891801,1.0
752,0.2,0.6,0.2,0.8037853661275003,1965.3349500255565,1.0
753,0.2,0.59,0.21,0.8175157459764185,1965.5486653367564,1.0
754,0.2,0.58,0.22,0.83166466400319,1965.6966499155624,1.0
755,0.2,0.57,0.23,0.8462515536193269,1965.7638095727598,1.0
756,0.2,0.56,0.24,0.8612970702497684,1965.7296353820361,1.0
757,0.2,0.55,0.25,0.8768231889204505,1965.5654817192767,1.0
758,0.2,0.54,0.26,0.8928533113494402,1965.230004134682,1.0
759,0.2,0.53,0.27,0.9094123836392038,1964.6611283959978,1.0
760,0.2,0.52,0.28,0.9265270258148864,1963.7610733087915,1.0
761,0.2,0.51,0.29,0.9442256746233704,1962.3664744110629,1.0
762,0.2,0.5,0.3,0.9625387412043711,1960.1841315367299,1.0
763,0.2,0.49,0.31,0.9814987854724971,1956.6427672603622,1.0
764,0.2,0.48,0.32,1.0011407093137514,1950.5500995893638,1.0
765,0.2,0.47,0.33,1.021501971008101,1939.5648804616808,1.0
766,0.2,0.46,0.34,1.042622823649582,1921.1656491613614,1.0
767,0.2,0.45,0.35,1.0645465807568781,1896.528103095352,1.0
768,0.2,0.44,0.36,1.0873199127621804,1869.0140564709027,1.0
769,0.2,0.43,0.37,1.1109931786491152,1840.4708182607599,1.0
770,0.2,0.42,0.38,1.1356207976991595,1811.5568388383977,1.0
771,0.2,0.41,0.39,1.1612616671221792,1782.5014413203287,1.0
772,0.2,0.4,0.4,1.1879796323171758,1753.3909981017184,1.0
773,0.2,0.39,0.41,1.2158440176671723,1724.2604869009253,1.0
774,0.2,0.38,0.42,1.2449302271585072,1695.1245413512534,1.0
775,0.2,0.37,0.43,1.2753204257807786,1665.9890073530112,1.0
776,0.2,0.36,0.44,1.3071043146735144,1636.855628068189,1.0
777,0.2,0.35,0.45,1.340380015419924,1607.724086383333,1.0
778,0.2,0.34,0.46,1.3752550818489344,1578.5929586918878,1.0
779,0.2,0.33,0.47,1.4118476613236632,1549.460176806452,1.0
780,0.2,0.32,0.48,1.450287831933283,1520.3232621646066,1.0
781,0.2,0.31,0.49,1.490719147478672,1491.1794522501216,1.0
782,0.2,0.3,0.5,1.533300428925417,1462.0257541838814,1.0
783,0.2,0.29,0.51,1.5782078494484137,1432.8589901869275,1.0
784,0.2,0.28,0.52,1.6256373707787244,1403.675797539374,1.0
785,0.2,0.27,0.53,1.6758076019025545,1374.4726434807778,1.0
786,0.2,0.26,0.54,1.7289631680732678,1345.2458186746449,1.0
787,0.2,0.25,0.55,1.7853786996754677,1315.991430756981,1.0
788,0.2,0.24,0.56,1.845363578201859,1286.7053972538297,1.0
789,0.2,0.23,0.57,1.9092676124756678,1257.3834344867637,0.0
790,0.2,0.22,0.58,1.9774878650265084,1228.0210443340136,0.0
791,0.2,0.1,0.7,3.400428511564951,876.0586578371192,0.0
792,0.2,0.0,0.8,8.013728477555295,832.819112207026,0.0
793,0.21,0.79,0.0,0.6326582278481012,2023.3950198503271,1.0
794,0.21,0.78,0.01,0.6413521450100136,2023.7732951399073,1.0
795,0.21,0.77,0.02,0.650251796443609,2024.1379520266194,1.0
796,0.21,0.76,0.03,0.6593645723847293,2024.4879619061599,1.0
797,0.21,0.75,0.04,0.6686982213142743,2024.822161081027,1.0
798,0.21,0.74,0.05,0.678260871932117,2025.1392274413236,1.0
799,0.21,0.73,0.06,0.688061056768502,2025.43765204983,1.0
800,0.21,0.72,0.07,0.6981077375770763,2025.715704266558,1.0
801,0.21,0.71,0.08,0.7084103326683919,2025.9713886098405,1.0
802,0.21,0.7,0.09,0.7189787463591198,2026.2023909471045,1.0
803,0.21,0.69,0.1,0.7298234007305177,2026.4060107656944,1.0
804,0.21,0.68,0.11,0.7409552699102198,2026.5790749165096,1.0
805,0.21,0.67,0.12,0.7523859171143811,2026.717827645664,1.0
806,0.21,0.66,0.13,0.7641275347130121,2026.8177859159175,1.0
807,0.21,0.65,0.14,0.7761929876103405,2026.8735507713702,1.0
808,0.21,0.64,0.15,0.788595860264661,2026.8785545332578,1.0
809,0.21,0.63,0.16,0.8013505077089712,2026.824718319041,1.0
810,0.21,0.62,0.17,0.8144721109752568,2026.701979704746,1.0
811,0.21,0.61,0.18,0.8279767373723226,2026.4976288345167,1.0
812,0.21,0.6,0.19,0.8418814061203845,2026.1953552489292,1.0
813,0.21,0.59,0.2,0.8562041599061574,2025.7738463546325,1.0
814,0.21,0.58,0.21,0.8709641429910101,2025.204670506809,1.0
815,0.21,0.57,0.22,0.8861816865831926,2024.448980965481,1.0
816,0.21,0.56,0.23,0.9018784022747002,2023.4522047235848,1.0
817,0.21,0.55,0.24,0.9180772844457874,2022.1351480596975,1.0
818,0.21,0.54,0.25,0.9348028226575646,2020.3784455738378,1.0
819,0.21,0.53,0.26,0.9520811251880285,2017.9941391724763,1.0
820,0.21,0.52,0.27,0.9699400550221583,2014.671542933893,1.0
821,0.21,0.51,0.28,0.988409379785908,2009.872553338863,1.0
822,0.21,0.5,0.29,1.007520937321134,2002.6455014755907,1.0
823,0.21,0.49,0.3,1.0273088188387285,1991.4395823915256,1.0
824,0.21,0.48,0.31,1.0478095718663925,1974.5770537259234,1.0
825,0.21,0.47,0.32,1.0690624255327315,1952.0456329073227,1.0
826,0.21,0.46,0.33,1.0911095411093095,1925.858125580372,1.0
827,0.21,0.45,0.34,1.1139962911773693,1897.9371038251434,1.0
828,0.21,0.44,0.35,1.1377715713087373,1869.2784379416887,1.0
829,0.21,0.43,0.36,1.1624881487664038,1840.306770182227,1.0
830,0.21,0.42,0.37,1.1882030534582042,1811.200203118232,1.0
831,0.21,0.41,0.38,1.2149780172399613,1782.0361763156895,1.0
832,0.21,0.4,0.39,1.2428799686908907,1752.8496459584128,1.0
833,0.21,0.39,0.4,1.271981591709055,1723.6566316788983,1.0
834,0.21,0.38,0.41,1.302361957741888,1694.464216205457,1.0
835,0.21,0.37,0.42,1.3341072432306822,1665.2750314601099,1.0
836,0.21,0.36,0.43,1.3673115459765819,1636.0893727049602,1.0
837,0.21,0.35,0.44,1.402077816714924,1606.9062364153317,1.0
838,0.21,0.34,0.45,1.438518925323168,1577.723857346014,1.0
839,0.21,0.33,0.46,1.4767588849232463,1548.5399878811506,1.0
840,0.21,0.32,0.47,1.516934261848297,1519.3520491614966,1.0
841,0.21,0.31,0.48,1.5591958052532904,1490.157217818981,1.0
842,0.21,0.3,0.49,1.6037103373522696,1460.9524581366263,1.0
843,0.21,0.29,0.5,1.6506629542435047,1431.734560495403,1.0
844,0.21,0.28,0.51,1.7002595985377043,1402.5001338803147,1.0
845,0.21,0.27,0.52,1.7527300791926397,1373.2456191063527,1.0
846,0.21,0.26,0.53,1.80833163195573,1343.9672804929749,1.0
847,0.21,0.25,0.54,1.8673531367960048,1314.6611983885573,1.0
848,0.21,0.24,0.55,1.9301201382490218,1285.3232617714095,1.0
849,0.21,0.23,0.56,1.9970008528533458,1255.9491568542044,0.0
850,0.21,0.22,0.57,2.0684133977768417,1226.5343532475868,0.0
851,0.21,0.1,0.69,3.5613748675796577,879.780858311139,0.0
852,0.21,0.0,0.79,8.447209816945382,837.889644668247,0.0
853,0.22,0.78,0.0,0.6712820512820513,2087.6772654823667,1.0
854,0.22,0.77,0.01,0.6805462644618575,2087.72999057467,1.0
855,0.22,0.76,0.02,0.6900325855148695,2087.758508175148,1.0
856,0.22,0.75,0.03,0.6997490988476892,2087.760672264904,1.0
857,0.22,0.74,0.04,0.7097042860333509,2087.7340360018593,1.0
858,0.22,0.73,0.05,0.7199070505043258,2087.6757943657217,1.0
859,0.22,0.72,0.06,0.7303667441110034,2087.5827151911867,1.0
860,0.22,0.71,0.07,0.7410931957121758,2087.451052065256,1.0
861,0.22,0.7,0.08,0.7520967419812316,2087.2764349216964,1.0
862,0.22,0.69,0.09,0.7633882606310359,2087.0537309206143,1.0
863,0.22,0.68,0.1,0.7749792062819605,2086.77686569721,1.0
864,0.22,0.67,0.11,0.7868816492216926,2086.4385910306423,1.0
865,0.22,0.66,0.12,0.7991083173325165,2086.0301790367353,1.0
866,0.22,0.65,0.13,0.811672641492235,2085.5410141107727,1.0
867,0.22,0.64,0.14,0.8245888047891803,2084.9580411409206,1.0
868,0.22,0.63,0.15,0.8378717959304418,2084.2650005441747,1.0
869,0.22,0.62,0.16,0.8515374672661372,2083.4413656501138,1.0
870,0.22,0.61,0.17,0.8656025979019788,2082.460811415816,1.0
871,0.22,0.6,0.18,0.8800849624284337,2081.288979559075,1.0
872,0.22,0.59,0.19,0.8950034058583988,2079.880127057678,1.0
873,0.22,0.58,0.2,0.9103779254377056,2078.171966648755,1.0
874,0.22,0.57,0.21,0.9262297600752508,2076.0774988757626,1.0
875,0.22,0.56,0.22,0.9425814882337668,2073.471698528673,1.0
876,0.22,0.55,0.23,0.9594571352300244,2070.1692551942992,1.0
877,0.22,0.54,0.24,0.9768822910168364,2065.88680340384,1.0
878,0.22,0.53,0.25,0.9948842396612239,2060.180072637074,1.0
879,0.22,0.52,0.26,1.0134921018966003,2052.351562003757,1.0
880,0.22,0.51,0.27,1.0327369923154974,2041.377327992243,1.0
881,0.22,0.5,0.28,1.0526521929876278,2026.0868160317275,1.0
882,0.22,0.49,0.29,1.073273345541125,2005.9318853048453,1.0
883,0.22,0.48,0.3,1.094638664038983,1981.7106028180376,1.0
884,0.22,0.47,0.31,1.1167891713255251,1954.9507828914336,1.0
885,0.22,0.46,0.32,1.13976896191829,1926.8741816179813,1.0
886,0.22,0.45,0.33,1.1636254949900737,1898.164078075676,1.0
887,0.22,0.44,0.34,1.1884099215373463,1869.1545371572975,1.0
888,0.22,0.43,0.35,1.2141774504811884,1840.004300692916,1.0
889,0.22,0.42,0.36,1.2409877592151726,1810.7896274976056,1.0
890,0.22,0.41,0.37,1.2689054550257022,1781.547805639647,1.0
891,0.22,0.4,0.38,1.2980005948943119,1752.2971772242895,1.0
892,0.22,0.39,0.39,1.3283492724856047,1723.0465356667648,1.0
