Author,Year,Publication,Format,Chemistry,Electrolyte,SOC,Failure,GasVol,Voltage,A-hr,W-hr,Mass,L/Wh,Pmax,Notes,CO2,CO,H2,CH4,C2H4,C2H6,C3H8,N2,O2,CH3OH,THC,Other,C2H2,C3H6,C4H10,C4H102,C4H8,C5H12,C5H123,C6H6,C7H8,C8H10,(CH3)2C6H4,C2H5F,CH3OCH3,CH3OCHO,C2H5OH,CH3F,PF3
Zheng,2016,,Pouch,LFP,EC:DMC:EMC,0,Overdischarged (Glove Box),,,,,,,,Gas species based on over-discharged battery (0.0 V),,,35.68,53.06,0.29,6.12,0.69,2.75,0.77,,,,0.18,,,,,,,,,,,,,,,,
Kong,2005,,18650,LMO,,OCH,Overcharged ,,4.3,0.7,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,18650,LMO,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,Pouch,LMO,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribiere,2011,,Pouch Cells,LMO,EC:DEC:DMC,"100, 50, 0",Thermal-Abuse (Tewarson calorimeter),,3.8,2.9,11,,,,"Gives the mass of CO2, CO and the THC in ppm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,143,Thermal Abuse,,,,,,,,,22,43.4,26.2,6.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,132,Thermal Abuse,,,,,,,,,18.9,49.2,25.8,4.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,127,Thermal Abuse,,,,,,,,,16.2,46.6,28.8,6.4,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,120,Thermal Abuse,,,,,,,,,20.8,48.7,23.5,5.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,112,Thermal Abuse,,,,,,,,,18.8,48.1,25.1,5.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,18650 Baseline Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,18650 with 2% VEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,18650 with 2% VEC and 5% TPP,Emailed for data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,Cell with 6% GDR Anode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:PC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,Cell with 6% GDR Anode and EC/PC/EMC + 2% VEC electrolyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham,2006,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),0.0045,4.1,1,4.1,,,,Vented Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham,2006,,18650,NCA,,100,Thermal-Abuse (ARC),0.0125,,,,,,,Punctured Cell,Emailed for Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roth,2008,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,,0.88,,,,,200 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roth,2008,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,,,,,,,300 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roth,2008,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,,,,,,,400 C,Emailed for Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,100,Thermal Abuse,,,,,,,,,19.7,48.9,22.6,6.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,100,Thermal Abuse,,,,,,,,,17.5,44,26.1,8.9,2.7,0.9,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,100,Thermal Abuse,,,,,,,,,22.7,41.5,28.5,5.9,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,18650-32A,NCA,,100,Thermal Abuse,,3.2,,,48.62,,,1st Venting,82.19,0,2.43,0,9.32,6.06,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-35E,NCA,,100,Thermal Abuse,,3.5,,,47.68,,,1st Venting,100,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-MJ1,NCA,,100,Thermal Abuse,,3.5,,,46.35,,,1st Venting,100,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-32A,NCA,,100,Thermal Abuse,,3.2,,,48.62,,,Thermal Runaway,95.56,0,3.71,0,0.74,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-35E,NCA,,100,Thermal Abuse,,3.5,,,47.68,,,Thermal Runaway,87.24,0,3.87,0,4.2,4.7,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-MJ1,NCA,,100,Thermal Abuse,,3.5,,,46.35,,,Thermal Runaway,98.06,0,0.87,0,1.07,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-32A,NCA,,100,Thermal Abuse,,3.2,,,48.62,,,Deflagration,20.4,58.41,15.94,2.5,2.44,0.09,,,,,,,0.22,,,,,,,,,,,,,,,,
Larsson,2017,,18650-35E,NCA,,100,Thermal Abuse,,3.5,,,47.68,,,Deflagration,14.5,44,35.68,3.66,1.95,0.06,,,,,,,0.14,,,,,,,,,,,,,,,,
Larsson,2017,,18650-MJ1,NCA,,100,Thermal Abuse,,3.5,,,46.35,,,Deflagration,9.76,37.22,43.15,6.97,2.69,0.06,,,,,,,0.16,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,75,Thermal Abuse,,,,,,,,,20.8,43.7,24.2,7.5,3.3,0.5,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,50,Thermal Abuse,,,,,,,,,33.8,39.9,17.5,5.2,3.2,0.4,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,25,Thermal Abuse,,,,,,,,,62.7,5.5,15.5,8.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,4.2,3.5,14.7,,,,,94.6,1.6,1.7,1.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,94.7,1.9,1.8,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,96,1.5,1.2,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,96.2,1.1,0.9,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,96.6,1,0.8,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,Pouch,NCA-LATP,,100,Thermal Abuse (Fire Test Chamber),,2.3,30,69,,,,2 batteries per test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,18650,NMC,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,Pouch,NMC,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2014,,18650,NMC,DMC:EMC:EC,100,Thermal Abuse (Reactor Chamber),,3.8,1.5,5.7,43,,,"* Not sure if charging regimen, leaves them at exactly 100%",41.2,13,30.8,6.8,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,"12x Lenovo laptop
battery packs",,,100,Thermal Abuse (Fire Test Chamber),,,33.6,,639,,,Measured HF and POF3 off-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
